x,y,z
2.4329401873830885 nm,1.8053512605558464 nm,0.1266733973000763 nm
1.744646014195437 nm,2.2159088006286805 nm,1.2320425498883747 nm
1.6862045294606576 nm,2.1692640781250208 nm,1.0223929188223315 nm
1.972660867334266 nm,1.9178827685873547 nm,0.3295854023545539 nm
1.6658541510875164 nm,2.1217577214371572 nm,0.5244998869515253 nm
1.8785628690930314 nm,1.8447008998515824 nm,0.023380610070238436 nm
2.1390490338495805 nm,2.1050295296201043 nm,0.05763361283973872 nm
1.760100171193807 nm,1.7500052105369688 nm,0.7361978265349989 nm
1.915901556804218 nm,2.250396410582908 nm,1.8355024185748747 nm
2.9369107096943 nm,1.1734722340453725 nm,0.6413157771169906 nm
1.5680400965194408 nm,1.6027235932728834 nm,0.7650703619214001 nm
1.0085997370682802 nm,1.7114951092739028 nm,0.7682094623338901 nm
1.965660070126508 nm,1.5922928337621425 nm,0.015831799788769387 nm
1.3612167783256823 nm,1.124365127362895 nm,1.6099350510059243 nm
1.5731176970949885 nm,1.437310909799229 nm,1.4506506648474402 nm
1.4854744330389917 nm,1.4812769780642563 nm,1.4018713013013526 nm
1.7726111204776307 nm,2.3486318596116185 nm,1.3697503930145651 nm
3.2383435491982504 nm,1.752338938300385 nm,0.6867162280669832 nm
2.550244240802158 nm,2.70636725038002 nm,1.3220859902703483 nm
2.0910192348229946 nm,0.9394638927047887 nm,0.8397864766264451 nm
1.6398614895926498 nm,0.9694716991179155 nm,0.5041010227035131 nm
1.7709231081402608 nm,1.465128563206233 nm,0.4343934857679992 nm
1.117453441893632 nm,2.130153469966307 nm,0.34823479141604025 nm
0.47902856647585934 nm,1.4975554619919458 nm,0.17481571022195863 nm
0.8281101858062089 nm,2.180090817943229 nm,0.6987994790843567 nm
2.0435223771640887 nm,0.7009553228480042 nm,0.6904545878473687 nm
2.1848991907953983 nm,0.9415337729667954 nm,0.5045609840459226 nm
2.0472998844530457 nm,0.8082378981461965 nm,0.15200419848729355 nm
1.2923327728074532 nm,1.5423247609945347 nm,0.40783743910624 nm
0.9976207436297662 nm,1.7330802586891547 nm,-0.07705340802636189 nm
1.300804539775612 nm,2.0117012020844816 nm,-0.009078782835498383 nm
2.216651282363167 nm,0.9514265619918736 nm,0.36607889187824927 nm
1.8423134247955977 nm,1.2507459559141605 nm,0.5935090288366642 nm
2.7544199299390635 nm,0.9818224898554135 nm,0.193756895571469 nm
0.927350788759132 nm,0.9938419560741333 nm,0.5074489550067754 nm
1.1915061142984371 nm,1.505515348958216 nm,0.3122589672603626 nm
1.4438741898203231 nm,1.6939514571379395 nm,-0.016955306145833127 nm
2.289865140428648 nm,0.529413066174146 nm,0.6739569151359485 nm
1.589979653494657 nm,1.6866271695419088 nm,0.8976811506901701 nm
2.7110484640812498 nm,1.3385750287031466 nm,0.41248223495319825 nm
2.174171063605388 nm,1.068895290979113 nm,0.2800234889062511 nm
1.668635433386556 nm,1.6924653869025221 nm,0.43601816317578673 nm
1.1024290312149474 nm,1.3638535875910094 nm,-0.1404523109591806 nm
2.8470881381630435 nm,1.4905530156265785 nm,0.6377392844639593 nm
2.2198610483520134 nm,1.4274909010368442 nm,0.8048873399389364 nm
