x,y,z
0.1675433902780699 nm ps⁻¹,-0.38484222046580246 nm ps⁻¹,-0.4199080364661594 nm ps⁻¹
-0.15192962134343702 nm ps⁻¹,-0.3726270902404882 nm ps⁻¹,-0.48584537029669306 nm ps⁻¹
0.007048180867438992 nm ps⁻¹,-0.3589204674953848 nm ps⁻¹,-0.47263394831172284 nm ps⁻¹
0.023996887770486322 nm ps⁻¹,-0.5830568577130119 nm ps⁻¹,-0.4090212030978125 nm ps⁻¹
0.08664509894032577 nm ps⁻¹,-0.29445551757897576 nm ps⁻¹,-0.38655678605041455 nm ps⁻¹
-0.05765715392180769 nm ps⁻¹,-0.26245649734887827 nm ps⁻¹,-0.2887559708564768 nm ps⁻¹
-0.14136947173430833 nm ps⁻¹,-0.3522915737809265 nm ps⁻¹,-0.5687511189916982 nm ps⁻¹
-0.005046390642093499 nm ps⁻¹,-0.3394896844483447 nm ps⁻¹,-0.4150263761421438 nm ps⁻¹
-0.08471580505136099 nm ps⁻¹,-0.32624636020484016 nm ps⁻¹,-0.3950029684521397 nm ps⁻¹
-0.27234471947803396 nm ps⁻¹,-0.29969559617584657 nm ps⁻¹,-0.6177326772938219 nm ps⁻¹
-0.04100546994106524 nm ps⁻¹,-0.15608522898967248 nm ps⁻¹,-0.29069736292980974 nm ps⁻¹
-0.24633602418246922 nm ps⁻¹,-0.41094252079612537 nm ps⁻¹,-0.43257494513511785 nm ps⁻¹
0.16569017962641266 nm ps⁻¹,-0.172222250438195 nm ps⁻¹,-0.48244615387271234 nm ps⁻¹
-0.22533599292671364 nm ps⁻¹,-0.3320724194208649 nm ps⁻¹,-0.5553338861640542 nm ps⁻¹
-0.35530676327376154 nm ps⁻¹,-0.3972641108366334 nm ps⁻¹,-0.43789283737671264 nm ps⁻¹
-0.00012582585247046144 nm ps⁻¹,-0.24440562175258032 nm ps⁻¹,-0.5438645680391629 nm ps⁻¹
0.04754775107922914 nm ps⁻¹,-0.3278594182808406 nm ps⁻¹,-0.4414088822630463 nm ps⁻¹
-0.15852473209719414 nm ps⁻¹,-0.3447634246015736 nm ps⁻¹,-0.4747920281867306 nm ps⁻¹
-0.19624087384727182 nm ps⁻¹,-0.5322600125969815 nm ps⁻¹,-0.4370776954889685 nm ps⁻¹
0.0383346676612241 nm ps⁻¹,-0.3988085825523738 nm ps⁻¹,-0.4218521804281484 nm ps⁻¹
-0.034886979669998416 nm ps⁻¹,-0.2930571302299501 nm ps⁻¹,-0.43266468375817013 nm ps⁻¹
-0.13901911085145147 nm ps⁻¹,-0.3846086285549908 nm ps⁻¹,-0.5609159661053792 nm ps⁻¹
-0.042166179536981534 nm ps⁻¹,-0.5766410908041875 nm ps⁻¹,-0.4885739239287145 nm ps⁻¹
-0.19982129861430287 nm ps⁻¹,-0.28746629109745686 nm ps⁻¹,-0.41696065231774965 nm ps⁻¹
-0.16112699121446722 nm ps⁻¹,-0.5272511345294509 nm ps⁻¹,-0.6841381441444536 nm ps⁻¹
-0.11606339787702223 nm ps⁻¹,-0.23632721532360135 nm ps⁻¹,-0.5202672510776887 nm ps⁻¹
0.13110312758475898 nm ps⁻¹,-0.2892771087441573 nm ps⁻¹,-0.49552750609576407 nm ps⁻¹
0.17266328620730786 nm ps⁻¹,-0.16611862614396955 nm ps⁻¹,-0.4009442394647484 nm ps⁻¹
-0.19260310725559193 nm ps⁻¹,-0.481989802763494 nm ps⁻¹,-0.2857826382063222 nm ps⁻¹
0.07918684607853055 nm ps⁻¹,-0.28913733015140564 nm ps⁻¹,-0.46826384933719767 nm ps⁻¹
-0.21666413153182137 nm ps⁻¹,-0.22556906950561884 nm ps⁻¹,-0.34899958370314216 nm ps⁻¹
-0.17478072514677248 nm ps⁻¹,-0.5400108691097674 nm ps⁻¹,-0.4760115242045644 nm ps⁻¹
0.09404445883315338 nm ps⁻¹,-0.35541470707650297 nm ps⁻¹,-0.2821180799510624 nm ps⁻¹
-48.79748366177857 nm ps⁻¹,3.951770077040707 nm ps⁻¹,14.65417387647507 nm ps⁻¹
14.692218799398995 nm ps⁻¹,7.637390530278317 nm ps⁻¹,14.435112939770203 nm ps⁻¹
20.58267843131908 nm ps⁻¹,-1.1940740915673873 nm ps⁻¹,-3.524597716316516 nm ps⁻¹
-55.232638521638215 nm ps⁻¹,-0.3198897244681182 nm ps⁻¹,-0.20015016823589254 nm ps⁻¹
20.59649660332323 nm ps⁻¹,-3.691062639092603 nm ps⁻¹,-0.17665484586967684 nm ps⁻¹
-56.01432537239612 nm ps⁻¹,-0.21911242163632016 nm ps⁻¹,-0.362787689614881 nm ps⁻¹
32.60853470515117 nm ps⁻¹,-0.26734357720201246 nm ps⁻¹,-0.3538185156001311 nm ps⁻¹
-0.5992032628066238 nm ps⁻¹,-0.2886041000168236 nm ps⁻¹,-0.33679166340046585 nm ps⁻¹
-0.27614939476986594 nm ps⁻¹,-0.3745339866904965 nm ps⁻¹,-0.27191851213413576 nm ps⁻¹
33.50628627036976 nm ps⁻¹,-0.19573912466745078 nm ps⁻¹,-0.5375135900390484 nm ps⁻¹
