x,y,z
-24797.27569224878 kJ nm⁻¹ mol⁻¹,-174272.8253876026 kJ nm⁻¹ mol⁻¹,-292515.9178124248 kJ nm⁻¹ mol⁻¹
-22986.240979311176 kJ nm⁻¹ mol⁻¹,-188137.60137170163 kJ nm⁻¹ mol⁻¹,-290950.8661471142 kJ nm⁻¹ mol⁻¹
-23779.48602158146 kJ nm⁻¹ mol⁻¹,-187046.6754586848 kJ nm⁻¹ mol⁻¹,-291527.25488253316 kJ nm⁻¹ mol⁻¹
-23062.8510091104 kJ nm⁻¹ mol⁻¹,-188307.31114907304 kJ nm⁻¹ mol⁻¹,-291213.7081378779 kJ nm⁻¹ mol⁻¹
-22997.551945054558 kJ nm⁻¹ mol⁻¹,-184034.10829755195 kJ nm⁻¹ mol⁻¹,-291564.8989213402 kJ nm⁻¹ mol⁻¹
-23416.529023014537 kJ nm⁻¹ mol⁻¹,-188580.7609094462 kJ nm⁻¹ mol⁻¹,-291198.52400410094 kJ nm⁻¹ mol⁻¹
-24729.589021726864 kJ nm⁻¹ mol⁻¹,-172768.42024984668 kJ nm⁻¹ mol⁻¹,-291881.9032797984 kJ nm⁻¹ mol⁻¹
-24572.09457580117 kJ nm⁻¹ mol⁻¹,-188189.61626652817 kJ nm⁻¹ mol⁻¹,-291283.0262948851 kJ nm⁻¹ mol⁻¹
-23254.442228188567 kJ nm⁻¹ mol⁻¹,-187979.46193778547 kJ nm⁻¹ mol⁻¹,-290807.01179553964 kJ nm⁻¹ mol⁻¹
-24181.840298193045 kJ nm⁻¹ mol⁻¹,-188670.50480264373 kJ nm⁻¹ mol⁻¹,-291829.673977325 kJ nm⁻¹ mol⁻¹
-22290.75226251269 kJ nm⁻¹ mol⁻¹,-186118.50500087457 kJ nm⁻¹ mol⁻¹,-291176.1042063316 kJ nm⁻¹ mol⁻¹
-23951.498309760183 kJ nm⁻¹ mol⁻¹,-187820.19942541473 kJ nm⁻¹ mol⁻¹,-291554.4319997978 kJ nm⁻¹ mol⁻¹
-17789.888203051818 kJ nm⁻¹ mol⁻¹,-179596.55238845918 kJ nm⁻¹ mol⁻¹,-291770.9959610693 kJ nm⁻¹ mol⁻¹
-23427.97777281184 kJ nm⁻¹ mol⁻¹,-186880.58608387635 kJ nm⁻¹ mol⁻¹,-292237.563498241 kJ nm⁻¹ mol⁻¹
-23875.615024905946 kJ nm⁻¹ mol⁻¹,-187875.00647258965 kJ nm⁻¹ mol⁻¹,-290536.8869438936 kJ nm⁻¹ mol⁻¹
-23466.743152115963 kJ nm⁻¹ mol⁻¹,-188089.36646044572 kJ nm⁻¹ mol⁻¹,-289518.96189126483 kJ nm⁻¹ mol⁻¹
-1.4237851653048161e7 kJ nm⁻¹ mol⁻¹,1.0631984624324504e6 kJ nm⁻¹ mol⁻¹,4.0914872891281443e6 kJ nm⁻¹ mol⁻¹
4.650044939558579e6 kJ nm⁻¹ mol⁻¹,1.0858538422463995e6 kJ nm⁻¹ mol⁻¹,4.1503444718089546e6 kJ nm⁻¹ mol⁻¹
6.329944313121526e6 kJ nm⁻¹ mol⁻¹,-123977.05214878214 kJ nm⁻¹ mol⁻¹,-200225.9828813854 kJ nm⁻¹ mol⁻¹
-1.6193417793664725e7 kJ nm⁻¹ mol⁻¹,-171431.25627539167 kJ nm⁻¹ mol⁻¹,-219564.5279302262 kJ nm⁻¹ mol⁻¹
6.353067683513518e6 kJ nm⁻¹ mol⁻¹,-140268.93095418045 kJ nm⁻¹ mol⁻¹,-204934.41781726014 kJ nm⁻¹ mol⁻¹
-1.6506250736025868e7 kJ nm⁻¹ mol⁻¹,-163133.2274945425 kJ nm⁻¹ mol⁻¹,-217913.48710887472 kJ nm⁻¹ mol⁻¹
9.629873196149038e6 kJ nm⁻¹ mol⁻¹,-171308.00377275716 kJ nm⁻¹ mol⁻¹,-226431.0131483519 kJ nm⁻¹ mol⁻¹
-148970.7819707203 kJ nm⁻¹ mol⁻¹,-170840.0939900943 kJ nm⁻¹ mol⁻¹,-218551.5598859548 kJ nm⁻¹ mol⁻¹
-151424.20514728458 kJ nm⁻¹ mol⁻¹,-175337.24464451318 kJ nm⁻¹ mol⁻¹,-228641.61352422848 kJ nm⁻¹ mol⁻¹
9.903787057844408e6 kJ nm⁻¹ mol⁻¹,-175723.6912568705 kJ nm⁻¹ mol⁻¹,-219335.46117864465 kJ nm⁻¹ mol⁻¹
-79892.04839170449 kJ nm⁻¹ mol⁻¹,-176339.55564653082 kJ nm⁻¹ mol⁻¹,-231637.78352545665 kJ nm⁻¹ mol⁻¹
1.011957010410911e7 kJ nm⁻¹ mol⁻¹,-171927.68387187223 kJ nm⁻¹ mol⁻¹,-231356.84348093197 kJ nm⁻¹ mol⁻¹
-8869.725016108947 kJ nm⁻¹ mol⁻¹,-168897.46161668017 kJ nm⁻¹ mol⁻¹,-225688.60299028453 kJ nm⁻¹ mol⁻¹
-25384.871126356655 kJ nm⁻¹ mol⁻¹,-168576.32204676123 kJ nm⁻¹ mol⁻¹,-224723.32348609433 kJ nm⁻¹ mol⁻¹
-25480.503197420043 kJ nm⁻¹ mol⁻¹,-168210.38720441292 kJ nm⁻¹ mol⁻¹,-224822.9505837146 kJ nm⁻¹ mol⁻¹
-7279.070022514963 kJ nm⁻¹ mol⁻¹,-169034.2192438403 kJ nm⁻¹ mol⁻¹,-224839.11892389445 kJ nm⁻¹ mol⁻¹
