x,y,z
1.3284907628917761 nm,1.4487327628377784 nm,0.4821019857759689 nm
1.1808680221107535 nm,1.7044211061317622 nm,0.482072438077482 nm
1.3284795262252695 nm,1.6191876320050806 nm,0.2410098925471425 nm
1.1808125470898838 nm,1.8749001166431645 nm,0.24104730271921115 nm
1.4761077566938159 nm,1.5339900654969532 nm,0.7231283862562716 nm
1.6236170017698517 nm,1.789599834012438 nm,0.7231566267648366 nm
1.6236717123825728 nm,1.4487265571421652 nm,0.4820192558152958 nm
1.476135873365678 nm,1.7044350423067631 nm,0.48203666648983234 nm
1.623659027757893 nm,1.6191952399222875 nm,0.24101904357985704 nm
1.4760728158131275 nm,1.874805507191396 nm,0.2410209216902779 nm
1.7712922948219658 nm,1.5340262705902343 nm,0.7231172596585448 nm
1.918903888805887 nm,1.7896560840712976 nm,0.7230562603361165 nm
1.9189645245824591 nm,1.4486873707003551 nm,0.4821392851109546 nm
1.771276274884863 nm,1.7043344429377212 nm,0.4820673566665769 nm
1.9188901438597288 nm,1.6191664327804867 nm,0.2410524777519744 nm
1.7712258858263192 nm,1.87485812652125 nm,0.24099566936463052 nm
2.0665219563414103 nm,1.5340164784421064 nm,0.7230675333730825 nm
2.214180526675626 nm,1.7896246989499396 nm,0.7230999895165686 nm
2.214140665172529 nm,1.4487928037434783 nm,0.48206043862379544 nm
2.066547513472619 nm,1.7043919026632979 nm,0.48206785305148225 nm
2.214086415649459 nm,1.6192438963774944 nm,0.24106648896339178 nm
2.066502328029794 nm,1.8748444197291736 nm,0.24101754081264348 nm
2.3617020758310345 nm,1.5339403757045107 nm,0.7231075735700645 nm
2.5093383229360415 nm,1.7896198677824413 nm,0.7231339435009243 nm
2.509322027412442 nm,1.448770185727236 nm,0.48204870714264286 nm
2.3617451041008 nm,1.7044433285628315 nm,0.48200763962938303 nm
2.509279389844601 nm,1.619266567132482 nm,0.2410277682791716 nm
2.3617775714010603 nm,1.8748303081699274 nm,0.2410345764989682 nm
2.656969426068801 nm,1.533955226463706 nm,0.7231275005101536 nm
2.804547299651878 nm,1.7896233508868673 nm,0.7231978991355198 nm
2.80454058299833 nm,1.448730060224598 nm,0.4820466731981487 nm
2.6568648805009305 nm,1.7043820007547792 nm,0.48204640389991643 nm
2.8045583609923366 nm,1.6192028219230652 nm,0.24102168750297204 nm
2.656883493631899 nm,1.874870356579149 nm,0.2410042165718801 nm
2.9522263285380457 nm,1.5339772915125331 nm,0.7231750278676353 nm
3.0997628365147 nm,1.7896570715980245 nm,0.7231297757297246 nm
3.0997168086031266 nm,1.4487343172967073 nm,0.4820520586890421 nm
2.952139139458378 nm,1.704432710129349 nm,0.4820478145809465 nm
3.099780701153658 nm,1.6192490730075257 nm,0.24104105607554427 nm
2.952114057798601 nm,1.8748614090527838 nm,0.24103258988191853 nm
3.2458677800752653 nm,2.0453865946523204 nm,0.7235146642539798 nm
0.14872267261860714 nm,2.300375175800594 nm,0.7245658410523796 nm
0.14920461651043515 nm,1.96036491214245 nm,0.4830248178738741 nm
3.242756623874386 nm,2.2157443195267534 nm,0.48211890643513816 nm
0.14923342216942745 nm,2.131437732102618 nm,0.24095040931510756 nm
3.2455103927836855 nm,2.3862189357531953 nm,0.2410383961567301 nm
0.29624958409826524 nm,2.045332301989257 nm,0.7231951522769342 nm
0.44285833536145064 nm,2.30101465980524 nm,0.7231432971163156 nm
0.4427541654919385 nm,1.9601455451916676 nm,0.48208393341828276 nm
0.2982329614599725 nm,2.2158264357067767 nm,0.48206206779609834 nm
0.44276424457350666 nm,2.130480902675511 nm,0.2410488130439835 nm
0.29624637425278777 nm,2.3862460403068755 nm,0.241068070972546 nm
0.5904234092931165 nm,2.0452411147347425 nm,0.7231387545042302 nm
0.7380617524510649 nm,2.3009374133546445 nm,0.7231083639004989 nm
0.7380383611069656 nm,1.9601175153116803 nm,0.4820446318646061 nm
0.5904798927044773 nm,2.215764702827489 nm,0.48206842421557755 nm
0.7380901295422138 nm,2.130554153423724 nm,0.24107998303027092 nm
0.5904332287515816 nm,2.3862472689693144 nm,0.24102337953293054 nm
0.8857584356002228 nm,2.045309557423852 nm,0.7231232697879953 nm
1.0332541248657343 nm,2.300975717902253 nm,0.7231386397003948 nm
1.0332868041571543 nm,1.9600884046785723 nm,0.48210474627468447 nm
0.8856224266059978 nm,2.215756351741321 nm,0.4820330521745717 nm
1.0332603579885509 nm,2.130531282069467 nm,0.24107365242917786 nm
0.8856618719927015 nm,2.386185340802761 nm,0.2410533162820009 nm
1.1808043524568919 nm,2.0452767108956666 nm,0.723195682509209 nm
1.328451302438962 nm,2.300967936405061 nm,0.7231388610748664 nm
1.3284831814117817 nm,1.9600559457005726 nm,0.48206496673613836 nm
1.1808918652106764 nm,2.2157212398093336 nm,0.48209157756488424 nm
1.328483128280108 nm,2.1305478795749693 nm,0.24105777212659363 nm
1.1808769547876794 nm,2.386200037400488 nm,0.24106494661468458 nm
1.4760375870588796 nm,2.045308381390765 nm,0.7231173820802992 nm
1.6237164845756284 nm,2.3009351766516217 nm,0.7231468412336022 nm
1.6237536545319395 nm,1.9601515629960862 nm,0.48207620835775655 nm
1.47612189840215 nm,2.215835256547747 nm,0.4821014304049249 nm
1.623629398705306 nm,2.130594475868531 nm,0.2409895957200041 nm
1.4760802986925525 nm,2.386248253197874 nm,0.241070074957232 nm
1.7713189397387668 nm,2.0452753539304878 nm,0.7231164382374397 nm
1.9188919191753209 nm,2.300959034718266 nm,0.7231450668269868 nm
1.9188686494425449 nm,1.9600865516870407 nm,0.48212461005104096 nm
1.7712866273585437 nm,2.2156831454381556 nm,0.4820633283728826 nm
1.918957719143425 nm,2.1305294010664007 nm,0.24103432186721793 nm
1.7713215961598845 nm,2.386210353133115 nm,0.2410196255597893 nm
2.0665040553082883 nm,2.0453881005412575 nm,0.7231250818951669 nm
2.2141213556055614 nm,2.300982511112329 nm,0.7231126037826918 nm
2.2141114197975647 nm,1.960132015792886 nm,0.4821354810898744 nm
2.06646138240017 nm,2.2157606213386227 nm,0.4821382329275732 nm
2.214141893829798 nm,2.130562962174755 nm,0.24109230471912957 nm
2.0665700827805664 nm,2.3862430880863625 nm,0.24102416235522353 nm
2.3617231441001727 nm,2.045329503126129 nm,0.7230504602625718 nm
2.5093683957428663 nm,2.300923487101701 nm,0.7231221381549497 nm
2.509364307298455 nm,1.960088142337892 nm,0.4821177899996625 nm
2.3617314425973865 nm,2.215729064251425 nm,0.48204160325683615 nm
2.5093840947215877 nm,2.1305308527601294 nm,0.24105002871017783 nm
2.3617258438196447 nm,2.386191035507915 nm,0.24101504678895608 nm
2.656928344055003 nm,2.0452789888622487 nm,0.7231351010810747 nm
2.804578588730366 nm,2.3009464214199 nm,0.7231155862991357 nm
2.804563288495511 nm,1.9601087140186317 nm,0.4820954273371624 nm
2.656922050730755 nm,2.215751237190619 nm,0.48210915676378 nm
2.8045453998188625 nm,2.1304836587554217 nm,0.241079517521938 nm
2.656945057514574 nm,2.38625278313958 nm,0.24099822476759508 nm
2.9521329404170658 nm,2.0453095094584994 nm,0.7231202199118516 nm
3.099769987015356 nm,2.3009560174126147 nm,0.7230896208016916 nm
3.099775406106387 nm,1.9600705931694464 nm,0.48206678371253076 nm
2.9521627635809615 nm,2.2157436004030555 nm,0.482084904718859 nm
3.0997820398872022 nm,2.1305138576249827 nm,0.24109386447035772 nm
2.952123134308985 nm,2.3862374486829334 nm,0.24098949289470004 nm
3.2421171742583823 nm,2.5571113011399333 nm,0.724749422903145 nm
0.14839920991050135 nm,2.81418783693157 nm,0.7235867393047299 nm
0.14924906171903288 nm,2.47227456446143 nm,0.48092215568836383 nm
3.2455295559958084 nm,2.727715907905686 nm,0.4820865808013177 nm
0.14858635917199225 nm,2.64275230726924 nm,0.24214829626397905 nm
3.247326496053691 nm,2.8975326660136616 nm,0.24107181725656873 nm
0.29885668146946254 nm,2.5566014754694852 nm,0.7231184659732712 nm
0.44280488679136454 nm,2.8123904834066553 nm,0.7231104302239951 nm
0.44281431836151325 nm,2.4714216364942536 nm,0.4821529312349273 nm
0.2964289076175254 nm,2.727092235527138 nm,0.48210544473414557 nm
0.44285096987716044 nm,2.6418599477298996 nm,0.24104137416268234 nm
0.2952159559836349 nm,2.8975287056117 nm,0.2409988706094251 nm
0.5904494400610284 nm,2.5566561785799977 nm,0.7231872805168404 nm
0.7380361310737981 nm,2.8123353264303637 nm,0.7231579176410196 nm
0.7380900923326565 nm,2.471441223564973 nm,0.48210930244282607 nm
0.5904000883029681 nm,2.727155684571918 nm,0.4820511457036249 nm
0.7380288871200845 nm,2.641840234607999 nm,0.24101105012227597 nm
0.5904389587170233 nm,2.897603967857851 nm,0.24106098372153228 nm
0.8856447971642636 nm,2.5566513771937047 nm,0.7230703945761324 nm
1.0332206222377935 nm,2.8123641293781314 nm,0.7231440249159803 nm
1.033226471534902 nm,2.4714597972288352 nm,0.4821112706416304 nm
0.8856208718148594 nm,2.7271221933151275 nm,0.48212144866245127 nm
1.0332960045819235 nm,2.64175971115257 nm,0.24099892799027178 nm
0.8856371870648779 nm,2.897551760736766 nm,0.2410504798801931 nm
1.180836855281038 nm,2.556634928770533 nm,0.7231645937804743 nm
1.3285164333441057 nm,2.8123170013288172 nm,0.723122085622633 nm
1.3284744244053557 nm,2.4714037192139697 nm,0.48213937989368794 nm
1.1808695901168345 nm,2.7270894044474296 nm,0.48207394922796687 nm
1.3285035327816086 nm,2.64191598875467 nm,0.24106440595997305 nm
1.180887004643736 nm,2.897565645736691 nm,0.2410206530686653 nm
1.4760970020352395 nm,2.556722291227956 nm,0.7231352659400084 nm
1.623640344567911 nm,2.8122792858842067 nm,0.7231253228395745 nm
1.6237270603586715 nm,2.4714013139964806 nm,0.4821030789199046 nm
1.4760931884255286 nm,2.7270543794563995 nm,0.48211076025609745 nm
1.6237683380437056 nm,2.6418910540570586 nm,0.24097185082940822 nm
1.4760953831573296 nm,2.897532550942848 nm,0.24107798832844282 nm
1.771315168451341 nm,2.556693050322197 nm,0.7230538378885437 nm
1.9189588037568246 nm,2.8123156604314126 nm,0.7230911685139426 nm
1.9188672471912758 nm,2.471425953854293 nm,0.4820667601344457 nm
1.771251503751697 nm,2.7270635337716183 nm,0.48204958088564087 nm
