r,v,Nv,Nvib,Et_i,θi,θorient,vib_phase,xi,yi,mN,mO
1.13998749,-0.16990681,,,,,,,,,,
1.122706386,-0.139502089,,,,,,,,,,
1.110279812,-8.26E-02,,,,,,,,,,
1.105181886,-8.43E-03,,,,,,,,,,
1.108493116,6.75E-02,,,,,,,,,,
1.119507243,0.129232621,,,,,,,,,,
1.135991716,0.165779148,,,,,,,,,,
1.154923371,0.17375168,,,,,,,,,,
1.173264436,0.155842718,,,,,,,,,,
1.188473789,0.117909598,,,,,,,,,,
1.198716243,6.66E-02,,,,,,,,,,
1.202883702,8.49E-03,,,,,,,,,,
1.200553075,-5.05E-02,,,,,,,,,,
1.191959038,-0.104374649,,,,,,,,,,
1.178009919,-0.146786256,,,,,,,,,,
1.160331166,-0.171065411,,,,,,,,,,
1.141273289,-0.170933034,,,,,,,,,,
1.123770217,-0.142495778,,,,,,,,,,
1.110920067,-8.72E-02,,,,,,,,,,
1.10526561,-1.38E-02,,,,,,,,,,
1.108002247,6.26E-02,,,,,,,,,,
1.118545435,0.125720332,,,,,,,,,,
1.134746937,0.164186309,,,,,,,,,,
1.153611182,0.174086234,,,,,,,,,,
1.172081309,0.157785729,,,,,,,,,,
1.187572487,0.121012975,,,,,,,,,,
1.198199062,7.05E-02,,,,,,,,,,
1.202804246,1.26E-02,,,,,,,,,,
1.200919264,-4.66E-02,,,,,,,,,,
1.192733677,-0.100971823,,,,,,,,,,
1.179108306,-0.14437983,,,,,,,,,,
1.161618238,-0.170115651,,,,,,,,,,
1.142566319,-0.171824019,,,,,,,,,,
1.124856147,-0.145359843,,,,,,,,,,
1.111594716,-9.17E-02,,,,,,,,,,
1.105389538,-1.91E-02,,,,,,,,,,
1.107548738,5.76E-02,,,,,,,,,,
1.117610576,0.122088904,,,,,,,,,,
1.13351469,0.162456566,,,,,,,,,,
1.152296937,0.174296274,,,,,,,,,,
1.170883887,0.159632138,,,,,,,,,,
1.186648016,0.124051632,,,,,,,,,,
1.19765329,7.42E-02,,,,,,,,,,
1.202694007,1.67E-02,,,,,,,,,,
1.201255556,-4.26E-02,,,,,,,,,,
1.193482448,-9.75E-02,,,,,,,,,,
1.180188223,-0.141890221,,,,,,,,,,
1.162897715,-0.16905207,,,,,,,,,,
1.143865564,-0.172580476,,,,,,,,,,
1.12596319,-0.148092805,,,,,,,,,,
1.112303082,-9.61E-02,,,,,,,,,,
1.10555354,-2.44E-02,,,,,,,,,,
1.107133056,5.26E-02,,,,,,,,,,
1.116703556,0.118340933,,,,,,,,,,
1.13229601,0.16059002,,,,,,,,,,
1.150981583,0.174380288,,,,,,,,,,
1.169672906,0.161379808,,,,,,,,,,
1.18570087,0.127023397,,,,,,,,,,
1.197079192,7.80E-02,,,,,,,,,,
1.202553035,2.07E-02,,,,,,,,,,
1.201561791,-3.86E-02,,,,,,,,,,
1.19420497,-9.40E-02,,,,,,,,,,
1.18124905,-0.139319628,,,,,,,,,,
1.164168744,-0.16787659,,,,,,,,,,
1.14517001,-0.173203229,,,,,,,,,,
1.127090353,-0.150693358,,,,,,,,,,
1.113044458,-0.100424137,,,,,,,,,,
1.105757443,-2.97E-02,,,,,,,,,,
1.106755631,4.75E-02,,,,,,,,,,
1.115825242,0.114479196,,,,,,,,,,
1.131091927,0.158586923,,,,,,,,,,
1.149666074,0.174336841,,,,,,,,,,
1.168449119,0.16302662,,,,,,,,,,
1.184731564,0.129926091,,,,,,,,,,
1.196477049,8.17E-02,,,,,,,,,,
1.202381397,2.48E-02,,,,,,,,,,
1.201837826,-3.46E-02,,,,,,,,,,
1.194900877,-9.05E-02,,,,,,,,,,
1.182290185,-0.136670252,,,,,,,,,,
1.165430489,-0.166591173,,,,,,,,,,
1.146478653,-0.173693213,,,,,,,,,,
1.128236632,-0.153160371,,,,,,,,,,
1.11381811,-0.104652209,,,,,,,,,,
1.106001035,-3.49E-02,,,,,,,,,,
1.106416854,4.23E-02,,,,,,,,,,
1.114976483,0.110506652,,,,,,,,,,
1.129903471,0.156447679,,,,,,,,,,
1.148351379,0.17416458,,,,,,,,,,
1.167213295,0.164570476,,,,,,,,,,
1.183740626,0.132757528,,,,,,,,,,
1.195847159,8.53E-02,,,,,,,,,,
1.202179173,2.88E-02,,,,,,,,,,
1.202083528,-3.06E-02,,,,,,,,,,
1.19556982,-8.69E-02,,,,,,,,,,
1.183311042,-0.133944294,,,,,,,,,,
1.166682127,-0.165197819,,,,,,,,,,
1.147790496,-0.174051464,,,,,,,,,,
1.129401017,-0.155492883,,,,,,,,,,
1.114623274,-0.108777397,,,,,,,,,,
1.106284061,-4.01E-02,,,,,,,,,,
1.106117078,3.71E-02,,,,,,,,,,
1.114158103,0.106426439,,,,,,,,,,
1.128731665,0.154172851,,,,,,,,,,
1.147038472,0.173862237,,,,,,,,,,
1.165966218,0.166009302,,,,,,,,,,
1.182728602,0.135515517,,,,,,,,,,
1.195189832,8.89E-02,,,,,,,,,,
1.201946457,3.29E-02,,,,,,,,,,
1.202298785,-2.65E-02,,,,,,,,,,
1.196211465,-8.32E-02,,,,,,,,,,
1.184311051,-0.13114395,,,,,,,,,,
1.167922853,-0.163698558,,,,,,,,,,
1.149104547,-0.17427912,,,,,,,,,,
1.130582489,-0.1576901,,,,,,,,,,
1.115459161,-0.11279631,,,,,,,,,,
1.106606225,-4.53E-02,,,,,,,,,,
1.105856615,3.19E-02,,,,,,,,,,
1.1133709,0.102241872,,,,,,,,,,
1.12757753,0.151763161,,,,,,,,,,
1.145728342,0.173428635,,,,,,,,,,
1.164708689,0.167341055,,,,,,,,,,
1.181696055,0.138197863,,,,,,,,,,
1.194505397,9.25E-02,,,,,,,,,,
1.20168336,3.69E-02,,,,,,,,,,
1.202483493,-2.25E-02,,,,,,,,,,
1.196825493,-7.95E-02,,,,,,,,,,
1.18528966,-0.128271415,,,,,,,,,,
1.169151875,-0.162095453,,,,,,,,,,
1.150419828,-0.17437741,,,,,,,,,,
1.131780025,-0.159751389,,,,,,,,,,
1.116324957,-0.116705733,,,,,,,,,,
1.106967193,-5.04E-02,,,,,,,,,,
1.105635736,2.66E-02,,,,,,,,,,
1.112615651,9.80E-02,,,,,,,,,,
1.126442081,0.149219501,,,,,,,,,,
1.144421981,0.172862694,,,,,,,,,,
1.163441523,0.16856372,,,,,,,,,,
1.180643563,0.140802365,,,,,,,,,,
1.193794196,9.60E-02,,,,,,,,,,
1.201390003,4.09E-02,,,,,,,,,,
1.202637568,-1.84E-02,,,,,,,,,,
1.197411601,-7.58E-02,,,,,,,,,,
1.186246332,-0.125328876,,,,,,,,,,
1.170368417,-0.160390591,,,,,,,,,,
1.151735366,-0.17434765,,,,,,,,,,
1.132992598,-0.161676281,,,,,,,,,,
1.117219825,-0.120502632,,,,,,,,,,
1.107366589,-5.55E-02,,,,,,,,,,
1.105454673,2.14E-02,,,,,,,,,,
1.111893102,9.36E-02,,,,,,,,,,
1.125326325,0.146542928,,,,,,,,,,
1.143120391,0.172163436,,,,,,,,,,
1.16216555,0.169675319,,,,,,,,,,
1.179571723,0.143326823,,,,,,,,,,
1.193056587,9.95E-02,,,,,,,,,,
1.201066527,4.49E-02,,,,,,,,,,
1.202760938,-1.43E-02,,,,,,,,,,
1.197969502,-7.21E-02,,,,,,,,,,
1.187180547,-0.122318516,,,,,,,,,,
1.17157172,-0.158586082,,,,,,,,,,
1.1530502,-0.174191243,,,,,,,,,,
1.134219178,-0.16346446,,,,,,,,,,
1.118142904,-0.124184152,,,,,,,,,,
1.107804001,-6.05E-02,,,,,,,,,,
1.105313615,1.60E-02,,,,,,,,,,
1.111203971,8.91E-02,,,,,,,,,,
1.124231259,0.143734672,,,,,,,,,,
1.141824583,0.171329988,,,,,,,,,,
1.160881616,0.170673912,,,,,,,,,,
1.178481146,0.145769037,,,,,,,,,,
1.192292946,0.102928096,,,,,,,,,,
1.200713083,4.88E-02,,,,,,,,,,
1.202853543,-1.02E-02,,,,,,,,,,
1.198498923,-6.83E-02,,,,,,,,,,
1.188091802,-0.119242509,,,,,,,,,,
1.17276104,-0.156684057,,,,,,,,,,
1.154363382,-0.173909666,,,,,,,,,,
1.135458732,-0.165115759,,,,,,,,,,
1.119093315,-0.127747618,,,,,,,,,,
1.108278978,-6.54E-02,,,,,,,,,,
1.105212711,1.07E-02,,,,,,,,,,
1.110548949,8.45E-02,,,,,,,,,,
1.123157872,0.14079614,,,,,,,,,,
1.140535572,0.17036159,,,,,,,,,,
1.15959058,0.171557603,,,,,,,,,,
1.177372461,0.148126807,,,,,,,,,,
1.191503663,0.106300423,,,,,,,,,,
1.20032984,5.28E-02,,,,,,,,,,
1.202915343,-6.15E-03,,,,,,,,,,
1.198999607,-6.44E-02,,,,,,,,,,
1.188979609,-0.116103022,,,,,,,,,,
1.173935649,-0.154686665,,,,,,,,,,
1.155673972,-0.173504473,,,,,,,,,,
1.136710228,-0.166630162,,,,,,,,,,
1.120070156,-0.131190541,,,,,,,,,,
1.10879103,-7.03E-02,,,,,,,,,,
1.105152066,5.37E-03,,,,,,,,,,
1.109928695,7.99E-02,,,,,,,,,,
1.122107142,0.137728912,,,,,,,,,,
