x,y,z,N,dnn,a,aPBCx,aPBCy,aPBCz,α,β,γ
25.0934519,19.60102105,-2.410437374,,,,,,,,,
23.61736649,22.15767596,-2.410437374,,,,,,,,,
25.0934519,21.30545766,-4.820874748,,,,,,,,,
23.61736649,23.86211258,-4.820874748,,,,,,,,,
26.5695373,20.45323935,0,,,,,,,,,
28.04562271,23.00989427,0,,,,,,,,,
28.04562271,19.60102105,-2.410437374,,,,,,,,,
26.5695373,22.15767596,-2.410437374,,,,,,,,,
28.04562271,21.30545766,-4.820874748,,,,,,,,,
26.5695373,23.86211258,-4.820874748,,,,,,,,,
29.52170811,20.45323935,0,,,,,,,,,
30.99779352,23.00989427,0,,,,,,,,,
30.99779352,19.60102105,-2.410437374,,,,,,,,,
29.52170811,22.15767596,-2.410437374,,,,,,,,,
30.99779352,21.30545766,-4.820874748,,,,,,,,,
29.52170811,23.86211258,-4.820874748,,,,,,,,,
0,25.56654919,0,,,,,,,,,
1.476085406,28.12320411,0,,,,,,,,,
1.476085406,24.71433088,-2.410437374,,,,,,,,,
0,27.2709858,-2.410437374,,,,,,,,,
1.476085406,26.4187675,-4.820874748,,,,,,,,,
0,28.97542242,-4.820874748,,,,,,,,,
2.952170811,25.56654919,0,,,,,,,,,
4.428256217,28.12320411,0,,,,,,,,,
4.428256217,24.71433088,-2.410437374,,,,,,,,,
2.952170811,27.2709858,-2.410437374,,,,,,,,,
4.428256217,26.4187675,-4.820874748,,,,,,,,,
