x,y,z
0.10117253553549198 nm ps⁻¹,-0.4249706598346451 nm ps⁻¹,-0.6403506864420833 nm ps⁻¹
-0.07256160083500932 nm ps⁻¹,-0.4258391064468472 nm ps⁻¹,-0.5663563458165438 nm ps⁻¹
-0.26750774189868104 nm ps⁻¹,-0.5192522321398577 nm ps⁻¹,-0.3458905799210203 nm ps⁻¹
0.07742165981221341 nm ps⁻¹,-0.49383337319870124 nm ps⁻¹,-0.40619371632239126 nm ps⁻¹
0.022173975863995277 nm ps⁻¹,-0.46968861183123334 nm ps⁻¹,-0.6585452429428145 nm ps⁻¹
0.1210080018899892 nm ps⁻¹,-0.3813203069043072 nm ps⁻¹,-0.6496430075402729 nm ps⁻¹
0.07509661699367733 nm ps⁻¹,-0.35084559261227893 nm ps⁻¹,-0.4537154054456167 nm ps⁻¹
-0.1338189428287212 nm ps⁻¹,-0.32412687149275843 nm ps⁻¹,-0.586451260036464 nm ps⁻¹
-0.21024684942378408 nm ps⁻¹,-0.4282819687728973 nm ps⁻¹,-0.5487396026577204 nm ps⁻¹
-0.06252455601868964 nm ps⁻¹,-0.4183785165817766 nm ps⁻¹,-0.5393136426165932 nm ps⁻¹
-0.0924945883190268 nm ps⁻¹,-0.32716575320472463 nm ps⁻¹,-0.3356496133103798 nm ps⁻¹
0.05216126838649535 nm ps⁻¹,-0.5248707023746796 nm ps⁻¹,-0.3696974452718442 nm ps⁻¹
0.07455085347478792 nm ps⁻¹,-0.3925936604460145 nm ps⁻¹,-0.43756669081951793 nm ps⁻¹
0.0469149477388072 nm ps⁻¹,-0.4852089967624859 nm ps⁻¹,-0.3960251089649345 nm ps⁻¹
-0.22008320816352722 nm ps⁻¹,-0.5093288451339018 nm ps⁻¹,-0.5939303272053379 nm ps⁻¹
-0.07071759125409229 nm ps⁻¹,-0.47803264832660414 nm ps⁻¹,-0.3930138624855967 nm ps⁻¹
-0.17488002645309722 nm ps⁻¹,-0.4452894322278574 nm ps⁻¹,-0.4435788243205879 nm ps⁻¹
-0.1751865561746628 nm ps⁻¹,-0.4369359161490466 nm ps⁻¹,-0.432457344067062 nm ps⁻¹
0.0054036544944274035 nm ps⁻¹,-0.3132323048226336 nm ps⁻¹,-0.4979781190466554 nm ps⁻¹
0.029691493727916865 nm ps⁻¹,-0.2156570527585642 nm ps⁻¹,-0.6693836812470323 nm ps⁻¹
-48.77123992129545 nm ps⁻¹,3.6289011287564215 nm ps⁻¹,14.508466424369333 nm ps⁻¹
14.855819605849954 nm ps⁻¹,7.322326046665505 nm ps⁻¹,14.576994493600282 nm ps⁻¹
21.63569530824832 nm ps⁻¹,-0.3106907882496341 nm ps⁻¹,-0.3200910754307124 nm ps⁻¹
-54.677193203946906 nm ps⁻¹,-0.3651938132757418 nm ps⁻¹,-0.19921392967418278 nm ps⁻¹
20.651171278830727 nm ps⁻¹,3.103755031288146 nm ps⁻¹,-0.41013788382053795 nm ps⁻¹
-44.21135990279788 nm ps⁻¹,-0.1125364498225285 nm ps⁻¹,-0.3821396951335227 nm ps⁻¹
32.93031436592823 nm ps⁻¹,-0.40238269165811624 nm ps⁻¹,-0.30023529888515615 nm ps⁻¹
-0.3672579108851916 nm ps⁻¹,-0.20167466884234972 nm ps⁻¹,-0.1017589150756932 nm ps⁻¹
-0.3090508133074003 nm ps⁻¹,-0.30432759379387897 nm ps⁻¹,-0.45287072320882243 nm ps⁻¹
33.39818075499162 nm ps⁻¹,-0.4330717668091891 nm ps⁻¹,-0.38578922843129954 nm ps⁻¹
-0.3716217778909704 nm ps⁻¹,-0.23895691656127824 nm ps⁻¹,-0.5369790307340916 nm ps⁻¹
26.312963643212925 nm ps⁻¹,-0.17595644829639026 nm ps⁻¹,-0.48770715929576863 nm ps⁻¹
-0.053255870609248974 nm ps⁻¹,-0.25681428300512427 nm ps⁻¹,-0.32057233253987266 nm ps⁻¹
0.07313332807924762 nm ps⁻¹,-0.18444894555812533 nm ps⁻¹,-0.46010129079578654 nm ps⁻¹
-0.1138449618894327 nm ps⁻¹,-0.4502460504910608 nm ps⁻¹,-0.25993738868610156 nm ps⁻¹
-0.009767084993353273 nm ps⁻¹,-0.317401487399824 nm ps⁻¹,-0.4433921924574166 nm ps⁻¹
-0.03970811160175609 nm ps⁻¹,-0.327799074685771 nm ps⁻¹,-0.28842983097229685 nm ps⁻¹
-0.0037734790349095333 nm ps⁻¹,-0.3724867086822967 nm ps⁻¹,-0.31693782625108624 nm ps⁻¹
-0.05154107380418848 nm ps⁻¹,-0.1984844815706788 nm ps⁻¹,-0.2809149223895974 nm ps⁻¹
-0.04025749055514568 nm ps⁻¹,-0.40636978256325434 nm ps⁻¹,-0.2928255454445455 nm ps⁻¹
0.10473190882615184 nm ps⁻¹,-0.08352661844863414 nm ps⁻¹,-0.5452689166006294 nm ps⁻¹
-0.09491931097232442 nm ps⁻¹,-0.06615221486318355 nm ps⁻¹,-0.3474535390537209 nm ps⁻¹
-0.13410883073270466 nm ps⁻¹,-0.1921923053595612 nm ps⁻¹,-0.43353997266749356 nm ps⁻¹
0.03802486143326773 nm ps⁻¹,-0.435111893074397 nm ps⁻¹,-0.30909206456506316 nm ps⁻¹
-0.05897985196732235 nm ps⁻¹,-0.3130792500489811 nm ps⁻¹,-0.46251457258413997 nm ps⁻¹
-0.05194391288676561 nm ps⁻¹,-0.1635243579215616 nm ps⁻¹,-0.16988859794160757 nm ps⁻¹
0.05002960082032235 nm ps⁻¹,-0.26477213069695654 nm ps⁻¹,-0.362082201064243 nm ps⁻¹
0.036316938487424434 nm ps⁻¹,-0.182207876044699 nm ps⁻¹,-0.41757077765341033 nm ps⁻¹
0.004624527728789157 nm ps⁻¹,-0.3359723887692462 nm ps⁻¹,-0.3028159984383066 nm ps⁻¹
0.12637296906290288 nm ps⁻¹,-0.3618241361818495 nm ps⁻¹,-0.3509738210260409 nm ps⁻¹
-0.08945619825387818 nm ps⁻¹,-0.12933584621376634 nm ps⁻¹,-0.38421971669361965 nm ps⁻¹
-0.09436368259466899 nm ps⁻¹,-0.34981426868959375 nm ps⁻¹,-0.25831301034667375 nm ps⁻¹
-0.018255668778768462 nm ps⁻¹,-0.3835015282409512 nm ps⁻¹,-0.13285892357032789 nm ps⁻¹
0.1303178820726261 nm ps⁻¹,-0.41051538140262056 nm ps⁻¹,-0.46052296148286437 nm ps⁻¹
0.045629281423961936 nm ps⁻¹,-0.15255654629454693 nm ps⁻¹,-0.2663304426657241 nm ps⁻¹
-0.13808258328626866 nm ps⁻¹,-0.31368516301650173 nm ps⁻¹,-0.2701518801401734 nm ps⁻¹
-0.12823934277405252 nm ps⁻¹,-0.3208737167337922 nm ps⁻¹,-0.28593821297220945 nm ps⁻¹
0.037493880242093235 nm ps⁻¹,-0.19091351692612557 nm ps⁻¹,-0.2480996423192475 nm ps⁻¹
0.039228916879567796 nm ps⁻¹,-0.2916981554485143 nm ps⁻¹,-0.46709549862767685 nm ps⁻¹
